Index,GPS time,CoG,Lat,Lon,VX,VY,VZ
202,2330:340452.827,262.06,29.18853467,-81.04548000,-0.01,0.01,-0.00
203,2330:340452.970,262.06,29.18853467,-81.04548000,0.00,0.01,-0.01
204,2330:340453.113,262.06,29.18853467,-81.04548000,-0.00,0.01,0.01
205,2330:340453.256,262.06,29.18853467,-81.04548000,0.01,0.01,-0.00
206,2330:340453.399,262.06,29.18853467,-81.04548000,-0.01,0.00,-0.00
207,2330:340453.542,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.00
208,2330:340453.685,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
209,2330:340453.828,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
210,2330:340453.971,262.06,29.18853467,-81.04548000,0.01,0.01,-0.01
211,2330:340454.114,262.06,29.18853467,-81.04548000,-0.01,-0.00,0.00
212,2330:340454.257,262.06,29.18853467,-81.04548000,0.01,-0.01,0.00
213,2330:340454.400,262.06,29.18853467,-81.04548000,0.00,-0.01,-0.00
214,2330:340454.543,262.06,29.18853467,-81.04548000,-0.00,0.01,0.01
215,2330:340454.686,262.06,29.18853467,-81.04548000,-0.00,-0.01,-0.01
216,2330:340454.829,262.06,29.18853467,-81.04548000,0.00,-0.00,0.01
217,2330:340454.972,262.06,29.18853467,-81.04548000,-0.00,-0.01,-0.01
218,2330:340455.115,262.06,29.18853467,-81.04548000,0.00,-0.00,0.01
219,2330:340455.258,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
220,2330:340455.401,262.06,29.18853467,-81.04548000,-0.01,0.01,-0.00
221,2330:340455.544,262.06,29.18853467,-81.04548000,-0.00,0.01,-0.00
222,2330:340455.687,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
223,2330:340455.830,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
224,2330:340455.973,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
225,2330:340456.116,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
226,2330:340456.259,262.06,29.18853467,-81.04548000,0.01,-0.00,-0.00
227,2330:340456.402,262.06,29.18853467,-81.04548000,-0.01,0.00,-0.00
228,2330:340456.545,262.06,29.18853467,-81.04548000,-0.00,0.01,0.00
229,2330:340456.688,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
230,2330:340456.831,262.06,29.18853467,-81.04548000,-0.00,-0.01,-0.00
231,2330:340456.974,262.06,29.18853467,-81.04548000,0.01,0.00,0.01
232,2330:340457.117,262.06,29.18853467,-81.04548000,0.00,-0.01,0.00
233,2330:340457.260,262.06,29.18853467,-81.04548000,0.00,0.01,0.01
234,2330:340457.403,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
235,2330:340457.546,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
236,2330:340457.689,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
237,2330:340457.832,262.06,29.18853467,-81.04548000,-0.00,0.01,-0.01
238,2330:340457.975,262.06,29.18853467,-81.04548000,0.00,0.01,0.01
239,2330:340458.118,262.06,29.18853467,-81.04548000,-0.00,0.00,0.01
240,2330:340458.261,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.00
241,2330:340458.404,262.06,29.18853467,-81.04548000,-0.00,0.01,0.00
242,2330:340458.547,262.06,29.18853467,-81.04548000,0.01,-0.00,0.01
243,2330:340458.690,262.06,29.18853467,-81.04548000,-0.00,-0.02,0.00
244,2330:340458.833,262.06,29.18853467,-81.04548000,-0.00,-0.01,0.02
245,2330:340458.976,262.06,29.18853467,-81.04548000,0.00,-0.01,0.00
246,2330:340459.119,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
247,2330:340459.262,262.06,29.18853467,-81.04548000,-0.00,-0.01,-0.00
248,2330:340459.405,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
249,2330:340459.548,262.06,29.18853467,-81.04548000,-0.01,0.01,-0.00
250,2330:340459.691,262.06,29.18853467,-81.04548000,0.01,0.01,0.00
251,2330:340459.834,262.06,29.18853467,-81.04548000,-0.01,0.00,0.00
252,2330:340459.977,262.06,29.18853467,-81.04548000,-0.00,-0.00,0.00
253,2330:340460.120,262.06,29.18853467,-81.04548000,-0.01,-0.00,-0.00
254,2330:340460.263,262.06,29.18853467,-81.04548000,-0.00,-0.00,0.01
255,2330:340460.406,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.00
256,2330:340460.549,262.06,29.18853467,-81.04548000,-0.01,0.01,0.01
257,2330:340460.692,262.06,29.18853467,-81.04548000,-0.00,-0.01,-0.00
258,2330:340460.835,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.00
259,2330:340460.978,262.06,29.18853467,-81.04548000,-0.00,0.00,0.01
260,2330:340461.121,262.06,29.18853467,-81.04548000,0.00,-0.01,0.00
261,2330:340461.264,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.00
262,2330:340461.407,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
263,2330:340461.550,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
264,2330:340461.693,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.01
265,2330:340461.836,262.06,29.18853467,-81.04548000,-0.00,-0.01,0.01
266,2330:340461.979,262.06,29.18853467,-81.04548000,-0.00,-0.00,0.00
267,2330:340462.122,262.06,29.18853467,-81.04548000,0.00,0.01,-0.01
268,2330:340462.265,262.06,29.18853467,-81.04548000,-0.01,0.00,-0.01
269,2330:340462.408,262.06,29.18853467,-81.04548000,0.01,0.00,0.01
270,2330:340462.551,262.06,29.18853467,-81.04548000,-0.00,-0.01,-0.00
271,2330:340462.694,262.06,29.18853467,-81.04548000,0.01,-0.00,-0.01
272,2330:340462.837,262.06,29.18853467,-81.04548000,-0.01,0.01,-0.00
273,2330:340462.980,262.06,29.18853467,-81.04548000,0.01,0.01,-0.01
274,2330:340463.123,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
275,2330:340463.266,262.06,29.18853467,-81.04548000,0.00,0.00,-0.01
276,2330:340463.409,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
277,2330:340463.552,262.06,29.18853467,-81.04548000,-0.01,0.01,0.01
278,2330:340463.695,262.06,29.18853467,-81.04548017,-0.08,0.02,0.05
279,2330:340463.838,309.66,29.18853483,-81.04548033,-0.15,0.04,0.09
280,2330:340463.981,308.10,29.18853500,-81.04548067,-0.20,0.04,0.14
281,2330:340464.124,306.57,29.18853533,-81.04548100,-0.25,0.04,0.16
282,2330:340464.267,310.59,29.18853567,-81.04548150,-0.30,0.06,0.23
283,2330:340464.410,306.09,29.18853600,-81.04548217,-0.44,0.07,0.28
284,2330:340464.553,308.42,29.18853650,-81.04548283,-0.50,0.10,0.33
285,2330:340464.696,308.51,29.18853717,-81.04548367,-0.63,0.13,0.42
286,2330:340464.839,308.64,29.18853800,-81.04548483,-0.82,0.16,0.56
287,2330:340464.982,308.14,29.18853900,-81.04548617,-1.00,0.23,0.64
288,2330:340465.125,305.69,29.18854017,-81.04548800,-1.23,0.25,0.73
289,2330:340465.268,306.23,29.18854133,-81.04549000,-1.40,0.30,0.84
290,2330:340465.411,305.03,29.18854267,-81.04549217,-1.58,0.29,0.92
291,2330:340465.554,303.51,29.18854417,-81.04549483,-1.77,0.28,0.99
292,2330:340465.697,301.03,29.18854567,-81.04549750,-1.97,0.26,1.00
293,2330:340465.840,302.19,29.18854717,-81.04550050,-2.10,0.34,1.09
294,2330:340465.983,298.69,29.18854883,-81.04550383,-2.30,0.31,1.03
295,2330:340466.126,297.09,29.18855033,-81.04550750,-2.49,0.26,1.06
296,2330:340466.269,297.20,29.18855200,-81.04551117,-2.63,0.28,1.12
297,2330:340466.412,293.57,29.18855350,-81.04551533,-2.86,0.17,1.06
298,2330:340466.555,291.00,29.18855500,-81.04551967,-2.99,0.12,0.97
299,2330:340466.698,290.83,29.18855650,-81.04552417,-3.11,0.13,0.99
300,2330:340466.841,289.26,29.18855800,-81.04552883,-3.22,0.09,0.94
301,2330:340466.984,288.08,29.18855933,-81.04553383,-3.46,0.09,0.92
302,2330:340467.127,285.07,29.18856067,-81.04553900,-3.61,0.00,0.78
303,2330:340467.270,282.49,29.18856167,-81.04554450,-3.70,-0.07,0.65
304,2330:340467.413,279.86,29.18856250,-81.04555017,-3.87,-0.19,0.54
305,2330:340467.556,278.73,29.18856333,-81.04555600,-3.97,-0.26,0.50
306,2330:340467.699,277.64,29.18856400,-81.04556183,-3.98,-0.30,0.43
307,2330:340467.842,275.34,29.18856450,-81.04556800,-4.15,-0.38,0.30
308,2330:340467.985,274.17,29.18856483,-81.04557417,-4.24,-0.42,0.22
309,2330:340468.128,269.93,29.18856483,-81.04558067,-4.34,-0.63,-0.04
310,2330:340468.271,268.17,29.18856467,-81.04558733,-4.40,-0.71,-0.15
311,2330:340468.414,266.72,29.18856433,-81.04559400,-4.46,-0.79,-0.25
312,2330:340468.557,265.69,29.18856400,-81.04560067,-4.57,-0.84,-0.34
313,2330:340468.700,263.89,29.18856333,-81.04560767,-4.65,-0.93,-0.47
314,2330:340468.843,260.97,29.18856233,-81.04561483,-4.76,-1.07,-0.71
315,2330:340468.986,258.33,29.18856100,-81.04562200,-4.74,-1.21,-0.90
316,2330:340469.129,257.56,29.18855950,-81.04562950,-4.90,-1.28,-0.99
317,2330:340469.272,255.14,29.18855783,-81.04563700,-4.95,-1.41,-1.20
318,2330:340469.415,252.80,29.18855567,-81.04564467,-4.99,-1.53,-1.42
319,2330:340469.558,250.67,29.18855333,-81.04565233,-4.99,-1.67,-1.60
320,2330:340469.701,248.77,29.18855067,-81.04566000,-5.05,-1.78,-1.80
321,2330:340469.844,245.37,29.18854767,-81.04566767,-4.98,-1.93,-2.11
322,2330:340469.987,244.26,29.18854433,-81.04567533,-5.00,-2.00,-2.23
323,2330:340470.130,241.58,29.18854067,-81.04568300,-4.98,-2.12,-2.51
324,2330:340470.273,239.26,29.18853667,-81.04569083,-4.93,-2.23,-2.75
325,2330:340470.416,237.18,29.18853217,-81.04569850,-4.93,-2.38,-2.98
326,2330:340470.559,234.33,29.18852750,-81.04570600,-4.80,-2.54,-3.23
327,2330:340470.702,232.17,29.18852233,-81.04571367,-4.77,-2.69,-3.50
328,2330:340470.845,231.23,29.18851700,-81.04572117,-4.77,-2.80,-3.60
329,2330:340470.988,229.58,29.18851133,-81.04572867,-4.77,-2.93,-3.84
330,2330:340471.131,226.09,29.18850517,-81.04573600,-4.51,-3.10,-4.13
331,2330:340471.274,225.23,29.18849883,-81.04574317,-4.48,-3.14,-4.24
332,2330:340471.417,224.09,29.18849233,-81.04575033,-4.44,-3.19,-4.40
333,2330:340471.560,221.37,29.18848550,-81.04575733,-4.25,-3.27,-4.69
334,2330:340471.703,220.42,29.18847850,-81.04576417,-4.20,-3.34,-4.80
